scientific_name,year_discovered,family_scientific_name
"Clanga Adamowicz, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Willisornis Agne & Pacheco, 2007",2007,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Urolais Alexander, 1903",1903,(SELECT scientific_name FROM families WHERE scientific_name = 'Cisticolidae')
"Poliolais Alexander, 1903",1903,(SELECT scientific_name FROM families WHERE scientific_name = 'Cisticolidae')
"Nesocharis Alexander, 1903",1903,(SELECT scientific_name FROM families WHERE scientific_name = 'Estrildidae')
"Myrmochanes Allen, JA, 1889",1889,(SELECT scientific_name FROM families WHERE scientific_name = 'Thamnophilidae')
"Helopsaltes Alstrm, Cibois, Irestedt, Zuccon, Gelang, Fjelds, Andersen, Moyle, Pasquet & Olsson, 2018",2018,(SELECT scientific_name FROM families WHERE scientific_name = 'Locustellidae')
"Micromacronus Amadon, 1962",1962,(SELECT scientific_name FROM families WHERE scientific_name = 'Cisticolidae')
"Cryptoleucopteryx Amaral, FSR, Sheldon, Gamauf, Haring, Riesing, Silveira & Wajntal, 2009",2009,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Peucaea Audubon, 1839",1839,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Bucephala Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Anatidae')
"Oreortyx Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Odontophoridae')
"Sphyrapicus Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Phainopepla Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Ptiliogonatidae')
"Stelgidopteryx Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Hirundinidae')
"Catherpes Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Troglodytidae')
"Oreoscoptes Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Mimidae')
"Rhynchophanes Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Calcariidae')
"Pooecetes Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Centronyx Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
"Melospiza Baird, SF, 1858",1858,(SELECT scientific_name FROM families WHERE scientific_name = 'Passerellidae')
