scientific_name,common_name,year_discovered,genus_scientific_name
"Puffinus yelkouan (Acerbi, 1827)",Yelkouan Shearwater,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Puffinus Brisson, 1760')"
"Hydrobates cheimomnestes (Ainley, 1980)",Ainleys Storm Petrel,1980,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hydrobates Boie, F, 1822')"
"Alauda razae (Alexander, 1898)",Raso Lark,1898,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Alauda Linnaeus, 1758')"
"Muscicapa gambagae (Alexander, 1901)",Gambaga Flycatcher,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Muscicapa Brisson, 1760')"
"Laniarius poensis (Alexander, 1903)",Mountain Sooty Boubou,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Laniarius Vieillot, 1816')"
"Phylloscopus herberti (Alexander, 1903)",Black-capped Woodland Warbler,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Bradypterus lopezi (Alexander, 1903)",Evergreen Forest Warbler,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bradypterus Swainson, 1837')"
"Poliolais lopezi (Alexander, 1903)",White-tailed Warbler,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Poliolais Alexander, 1903')"
"Cossyphicula roberti (Alexander, 1903)",White-bellied Robin-Chat,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cossyphicula Grote, 1934')"
"Sheppardia poensis (Alexander, 1903)",Short-tailed Akalat,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sheppardia Haagner, 1909')"
"Cinnyris ursulae (Alexander, 1903)",Ursulas Sunbird,1903,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cinnyris Cuvier, 1816')"
"Emberiza goslingi (Alexander, 1906)",Goslings Bunting,1906,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Emberiza Linnaeus, 1758')"
"Onychognathus neumanni (Alexander, 1908)",Neumanns Starling,1908,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Onychognathus Hartlaub, 1849')"
"Vidua nigeriae (Alexander, 1908)",Quailfinch Indigobird,1908,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Vidua Cuvier, 1816')"
"Pternistis camerunensis (Alexander, 1909)",Mount Cameroon Spurfowl,1909,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pternistis Wagler, 1832')"
"Aegolius ridgwayi (Alfaro, 1905)",Unspotted Saw-whet Owl,1905,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aegolius Kaup, 1829')"
"Aptenorallus calayanensis (Allen, D, Oliveros, Espaola, Broad & Gonzalez, 2004)",Calayan Rail,2004,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Aptenorallus Kirchman, McInerney, Giarla, Olson, Slikas & Fleischer, 2021')"
"Ammospiza nelsoni (Allen, JA, 1875)",Nelsons Sparrow,1875,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ammospiza Oberholser, 1905')"
"Plegadis ridgwayi (Allen, JA, 1876)",Puna Ibis,1876,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Plegadis Kaup, 1829')"
"Gallinula comeri (Allen, JA, 1892)",Gough Moorhen,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Gallinula Brisson, 1760')"
"Phylloscopus soror (Alstrm & Olsson, 1999)",Alstrms Warbler,1999,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Phylloscopus tephrocephalus (Anderson, 1871)",Grey-crowned Warbler,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylloscopus Boie, F, 1826')"
"Prinia superciliaris (Anderson, 1871)",Hill Prinia,1871,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Prinia Horsfield, 1821')"
"Cisticola troglodytes (Antinori, 1864)",Foxy Cisticola,1864,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cisticola Kaup, 1829')"
"Lagonosticta rara (Antinori, 1864)",Black-bellied Firefinch,1864,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lagonosticta Cabanis, 1851')"
"Crithagra ankoberensis (Ash, 1979)",Ankober Serin,1979,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Crithagra Swainson, 1827')"
"Ashbyia lovensis (Ashby, 1911)",Gibberbird,1911,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ashbyia North, 1911')"
"Anthracothorax aurulentus (Audebert & Vieillot, 1801)",Puerto Rican Mango,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthracothorax Boie, F, 1831')"
"Anthracothorax viridis (Audebert & Vieillot, 1801)",Green Mango,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anthracothorax Boie, F, 1831')"
"Heliomaster longirostris (Audebert & Vieillot, 1801)",Long-billed Starthroat,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Heliomaster Bonaparte, 1850')"
"Riccordia maugaeus (Audebert & Vieillot, 1801)",Puerto Rican Emerald,1801,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Riccordia Reichenbach, 1854')"
"Thryomanes bewickii (Audubon, 1827)",Bewicks Wren,1827,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Thryomanes Sclater, PL, 1862')"
"Empidonax traillii (Audubon, 1828)",Willow Flycatcher,1828,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Empidonax Cabanis, 1855')"
"Centronyx henslowii (Audubon, 1829)",Henslows Sparrow,1829,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Centronyx Baird, SF, 1858')"
