vernacularName	language	taxonID
Ostriches	en	e86ef0e503d2961a3da298cea6da8021
Common Ostrich	en	ceab0b65522ca514b497c009eb60c834
Somali Ostrich	en	93bbbd945a0a1593d6e2f14da36cc295
Rheas	en	7475f9964f75885186b497bcd4be3dbf
Greater Rhea	en	59a45f2fb4d91d3cecfaf8b1a1a60569
Lesser Rhea	en	69f5be2eefb04a735b77bf6fee1aa8e0
Kiwis	en	0eeebcd01b916ec2e4fb78ce9540b6d5
Southern Brown Kiwi	en	cac499226a6138a2b7672e85566ac435
North Island Brown Kiwi	en	8464d1502fe82242da6d7234c5597a25
Okarito Kiwi	en	313dfbc419634fc63730705d30b01c54
Little Spotted Kiwi	en	1ce4aefbcfaa2ebcf88d434ab64dd67d
Great Spotted Kiwi	en	7a22a3e08b2fc91956315dd7fab97a0f
Cassowaries, Emu	en	d63d411d91bbff65ab752e7d99bc2e1c
Southern Cassowary	en	6e715f2c26d8f0966ce6476173a81b2b
Dwarf Cassowary	en	a97db864c2ecf826028f5a599f6c698d
Northern Cassowary	en	3b14d806e79795a02438ca304eb72936
Emu	en	11bc12441402e6cf2229a5dddd382c9a
Tinamous	en	896cffc0ecbdc6b680ed6b8d62493c88
Grey Tinamou	en	b0e9ea87014273e84171b459471e4d3b
Solitary Tinamou	en	76ef05f82d6b7ff93d69b457992c111b
Black Tinamou	en	50d2aee4f458f83dd93829d06356f282
Great Tinamou	en	7af9cc302e315b5638ec6ce8ebed1636
White-throated Tinamou	en	bf921b726a698729c9431e4d23049283
Highland Tinamou	en	1a5466922d01305962596157d4b92d09
Tawny-breasted Tinamou	en	0faa2c5d6eb1506a383c51f73eae5741
Hooded Tinamou	en	7e5b3c1dd5e85f4e5b5b6fd14c76ab79
Berlepsch's Tinamou	en	be6a68d9e29d8a2ce261ff69ee4cdee8
Cinereous Tinamou	en	89628d897782013b9a79f0a82f82e955
Little Tinamou	en	20299c9f546c331e2db404a2a5039e5c
Tepui Tinamou	en	65b70f669cd528046f04e6ed4780d9fa
Brown Tinamou	en	831fb57df3e7b7cdc065f902a889985b
Undulated Tinamou	en	130b813f4c3019df695fd6f9f5068fa3
Pale-browed Tinamou	en	a559dfa571eee50badb2b06f4d503dd8
Brazilian Tinamou	en	ecdd64b896b94ab28c3b8d781d450afe
Grey-legged Tinamou	en	c135f20d66fdb76904ded1b1f7142f3b
Red-legged Tinamou	en	ec9969390fdc9e0a84746ee01100e776
Yellow-legged Tinamou	en	2fa02268dec6d0caf54cc8bfadbe1c1b
Black-capped Tinamou	en	7646f6ee475f7462022dce7c97a9b576
Thicket Tinamou	en	0fce903fd4edc302d7516175e00a337a
Slaty-breasted Tinamou	en	0dc202070ad7deb1867c8c89f5ac314a
Choco Tinamou	en	0a5041a7eee638ae3485bacf5a6e1d0e
Variegated Tinamou	en	223ab29e55fda216ff0242a1e25e1064
Rusty Tinamou	en	8f4a15d0c82657d22b0896bff1230ade
Bartlett's Tinamou	en	9266e33ef0d0baa6edefa750c0724aff
Small-billed Tinamou	en	00b6690bff6871f7f6dc1542c6550f42
Barred Tinamou	en	ae8bc357cb8ce88c11aa113a5ec0eb8e
Tataupa Tinamou	en	a4017e22351ab48f080bb6e95940f14f
Red-winged Tinamou	en	3ad01a1efb53360947fcfd35f80ba538
Huayco Tinamou	en	5bde434becc0b0a85e45132ae00327bf
Taczanowski's Tinamou	en	9129c232d634304602bdf5f9ceaeeaac
Ornate Tinamou	en	56f8ab4dfef634e9b3a0c9d9f3ede2f0
Chilean Tinamou	en	496be2b6f070d2f206a235da215f7d25
Brushland Tinamou	en	bc3587808ab6af10085310a46a5f3a8f
Andean Tinamou	en	b175d1aeca9b04ef88285e36d92974ff
Curve-billed Tinamou	en	d96683eaf230bd4b53326feed929d4f9
White-bellied Nothura	en	7b18bb04c95e692d3ce09c0aff0f88a7
Lesser Nothura	en	8b124c3044f63dfc846ae0f8d5003ef2
Darwin's Nothura	en	71a94c7dc13ee62d1388794d6ca2d784
Spotted Nothura	en	2fa8b778db59588302a3a5affea4682a
Dwarf Tinamou	en	bbdec74b8f55c8c6d17763c91b0a996d
Elegant Crested Tinamou	en	e94be483e2e6fae2114ea5c697aec25a
Quebracho Crested Tinamou	en	e136e9551c6968f9433893ee62591a67
Puna Tinamou	en	9993365c2d76c6462411c089fc5597fc
Patagonian Tinamou	en	fbc5686525d584338ef0f128ddcfc138
Screamers	en	1276ced3d19e3912310786e09c7f2fd3
Horned Screamer	en	21edeee1c0eea21d0a64e0271332f529
Northern Screamer	en	b4a52cf0ead195cc1a21219fe254553d
Southern Screamer	en	bf45d494b44ac4f8b48ac01375f7fe82
Magpie Goose	en	e3ef2e65d071d480586ed4fc6adea4ea
Magpie Goose	en	69ead5b333afe5dae04b70b07044e2ca
